8	1	2	2	4	2
11	0	1	2	7	2
13	2	0	2	4	2
17	2	0	7	8	2
10	2	4	8	11	2
13	2	0	2	4	2
8	1	2	3	4	2
11	1	0	3	4	2
15	3	0	2	6	2
16	3	0	3	6	2
8	0	1	2	6	2
19	2	0	5	11	2
13	1	0	3	6	2
9	1	0	3	4	2
22	0	0	4	5	2
21	0	0	4	4	2
22	1	0	5	5	2
18	2	0	3	6	2
16	4	0	5	8	2
16	2	0	3	4	2
14	0	0	4	7	2
15	8	0	3	4	2
11	1	0	4	5	2
10	2	0	3	5	2
10	2	1	3	5	2
14	4	0	4	6	2
8	3	2	3	4	2
9	5	0	5	6	2
12	3	2	7	8	2
15	6	0	12	13	2
8	2	0	5	6	2
11	6	1	3	4	2
13	5	1	3	4	2
16	8	3	1	4	2
12	4	0	3	5	2
9	5	1	2	3	2
12	3	1	2	5	2
9	5	0	3	4	2
13	8	0	3	4	2
8	4	3	3	6	2
8	4	2	3	6	2
8	4	2	3	6	2
16	4	0	2	5	2
15	8	0	1	3	2
16	5	1	8	10	2
8	2	2	3	4	2
20	4	1	6	10	2
8	3	1	3	4	2
10	3	0	6	8	2
14	4	0	5	7	2
11	1	0	2	5	2
12	7	2	4	6	2
11	6	2	3	5	2
10	4	1	2	4	2
10	4	1	2	4	2
12	4	1	1	3	2
8	3	2	2	3	2
18	2	0	1	4	2
13	2	0	1	3	2
8	3	0	3	5	2
13	3	0	4	5	2
10	8	1	2	3	2
11	3	1	2	5	2
16	4	0	1	2	2
13	13	0	0	1	2
18	7	0	1	2	2
9	1	0	3	4	2
37	9	0	18	20	2
37	9	0	18	20	2
8	1	0	2	7	2
14	3	1	3	7	2
24	7	0	4	5	2
23	9	0	6	10	2
9	7	1	3	4	2
16	5	0	2	3	2
23	8	0	5	9	2
10	4	0	7	9	2
11	9	0	3	4	2
13	3	0	2	4	2
11	7	0	2	3	2
24	4	1	4	6	2
17	9	1	1	2	2
9	2	2	2	5	2
11	4	1	2	6	2
14	7	0	3	5	2
9	2	2	1	3	2
15	5	0	3	4	2
10	7	2	2	3	2
16	3	0	1	6	2
8	4	3	1	2	2
11	4	1	3	5	2
10	2	3	3	5	2
19	2	0	3	6	2
20	6	0	3	5	2
9	4	0	3	5	2
19	1	0	5	9	2
21	7	0	1	4	2
10	6	3	2	3	2
8	2	3	3	4	2
13	2	0	2	6	2
